iter	Passed	Remaining
0	1	126
1	2	117
2	3	114
3	4	105
4	5	105
5	6	106
6	8	106
7	9	105
8	10	105
9	11	103
10	12	103
11	13	102
12	15	100
13	16	99
14	17	98
15	18	98
16	19	96
17	20	94
18	22	95
19	23	93
20	24	92
21	25	91
22	26	89
23	27	88
24	29	87
25	30	86
26	31	85
27	32	84
28	33	82
29	34	81
30	36	80
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	42	73
37	44	71
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	89	25
78	90	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	97	17
85	98	15
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	111	3
97	112	2
98	113	1
99	114	0
